189578 getPopulationofCountry French Guiana 4 Zone:4 (turnaround time: 128 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-4)
48029 getPopulationofCountry Seychelles 1 Zone:1 (turnaround time: 116 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-1)
31731367 getPopulationofCountry Canada 1 Zone:1 (turnaround time: 116 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-1)
447039 getPopulationofCountry Equatorial Guinea 2 Zone:2 (turnaround time: 124 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-2)
447039 getPopulationofCountry Equatorial Guinea 2 Zone:2 (turnaround time: 116 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-2)
1070 getPopulationofCountry Tokelau 4 Zone:4 (turnaround time: 112 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-4)
276340 getPopulationofCountry Swaziland 1 Zone:1 (turnaround time: 117 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-1)
276340 getPopulationofCountry Swaziland 1 Zone:1 (turnaround time: 117 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-1)
276340 getPopulationofCountry Swaziland 1 Zone:1 (turnaround time: 118 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-1)
30376 getPopulationofCountry Palau 4 Zone:4 (turnaround time: 112 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-4)
3645095 getPopulationofCountry Uganda 4 Zone:4 (turnaround time: 110 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-4)
3645095 getPopulationofCountry Uganda 4 Zone:4 (turnaround time: 114 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-4)
7571439 getPopulationofCountry Kenya 2 Zone:2 (turnaround time: 112 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-2)
1680347 getPopulationofCountry Chad 4 Zone:4 (turnaround time: 113 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-4)
6340891 getPopulationofCountry Guatemala 3 Zone:3 (turnaround time: 112 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-3)
32847337 getPopulationofCountry Ukraine 4 Zone:4 (turnaround time: 120 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-4)
32847337 getPopulationofCountry Ukraine 4 Zone:4 (turnaround time: 115 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-4)
32847337 getPopulationofCountry Ukraine 4 Zone:4 (turnaround time: 117 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-4)
32847337 getPopulationofCountry Ukraine 4 Zone:4 (turnaround time: 110 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-4)
3988332 getPopulationofCountry Paraguay 4 Zone:4 (turnaround time: 114 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-4)
1070 getPopulationofCountry Tokelau 4 Zone:4 (turnaround time: 116 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-4)
233433 getPopulationofCountry Bhutan 1 Zone:1 (turnaround time: 118 ms, execution time: 0 ms, waiting time: 0 ms, processed by Server server-1)
